dataset,prefix,in_cartesian_grid,in_manifest,available_kinds,missing_kinds
Clone1,resnet50_fp64_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp16_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp32_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,mobilenet_v2_fp64_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp16_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp32_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone2,resnet50_fp64_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp16_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp32_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,mobilenet_v2_fp64_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_medium_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_medium_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_medium_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_medium_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_slow_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_slow_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp16_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp32_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp32_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp32_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone3,resnet50_fp32_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
